engine,n_eval,top1_acc,top3_acc,baseline_top1_acc,lift,z_score,brier_score,log_loss,simulated_profit_unit_bet,sharpe,verdict
AI-Optimal,194,0.4020618556701031,0.7474226804123711,0.4020618556701031,0.0,0.0,0.7632522986480277,1.722899357448371,-38,-3.162680820762935,no_edge
Markov,194,0.3865979381443299,0.7371134020618557,0.4020618556701031,-0.015463917525773196,-0.3116430678712271,0.7693100386341865,1.776961252712215,-35,-2.5753256892087037,no_edge
Markov-HO,194,0.37628865979381443,0.7319587628865979,0.4020618556701031,-0.02577319587628868,-0.5206228442690503,0.7704252485001486,1.7566406520376874,-44,-3.4679807627532857,no_edge
Heuristic,194,0.3247422680412371,0.634020618556701,0.4020618556701031,-0.07731958762886598,-1.5832485133232033,0.8362237755697021,2.887185138203363,-10,-0.3757090778362621,no_edge
