timestamp,actual_number,predicted_number,profit_change,is_win
2026-06-08T16:44:52.632436,2,2.0,0,True
2026-06-08T16:45:41.022488,10,,0,False
2026-06-08T16:46:34.544473,1,1.0,0,True
2026-06-08T16:47:14.451329,1,1.0,0,True
2026-06-08T16:48:03.614700,1,1.0,0,True
2026-06-08T16:48:54.144006,10,,0,False
2026-06-08T16:49:41.557245,1,1.0,0,True
2026-06-08T16:50:33.514951,2,2.0,0,True
2026-06-08T16:51:17.839960,1,1.0,0,True
2026-06-08T16:52:09.192381,30,,0,False
2026-06-08T16:52:57.063119,5,5.0,0,True
2026-06-08T16:53:38.525037,1,1.0,0,True
2026-06-08T16:54:23.777773,2,2.0,0,True
2026-06-08T16:55:15.767243,8,,0,False
2026-06-08T16:56:02.279537,1,1.0,0,True
2026-06-08T16:56:54.391669,5,5.0,0,True
2026-06-08T16:57:45.888942,5,5.0,0,True
2026-06-08T16:58:27.673083,10,,-1,False
2026-06-08T16:59:14.837099,2,2.0,0,True
2026-06-08T17:00:12.015421,15,,-1,False
2026-06-08T17:00:49.676706,5,,-1,False
2026-06-08T17:01:35.657722,1,1.0,0,True
