timestamp,actual_number,predicted_number,profit_change,is_win
2026-06-08T02:36:58.756412,1,1.0,0,True
2026-06-08T02:37:45.836849,2,2.0,0,True
2026-06-08T02:38:28.251050,5,5.0,0,True
2026-06-08T02:39:11.943593,1,1.0,0,True
2026-06-08T02:39:59.208640,1,1.0,0,True
2026-06-08T02:40:48.228087,1,1.0,0,True
2026-06-08T02:41:47.280295,2,2.0,0,True
2026-06-08T02:42:28.626412,10,,0,False
2026-06-08T02:43:41.473899,1,1.0,0,True
2026-06-08T02:43:43.605111,2,2.0,0,True
2026-06-08T02:44:06.920767,1,1.0,0,True
2026-06-08T02:44:54.852815,2,2.0,0,True
2026-06-08T02:45:44.460707,1,1.0,0,True
2026-06-08T02:46:34.579703,1,1.0,0,True
2026-06-08T02:47:26.813171,2,2.0,0,True
2026-06-08T02:48:17.446160,15,,0,False
2026-06-08T02:49:05.067005,2,2.0,0,True
2026-06-08T02:49:53.944266,5,5.0,0,True
2026-06-08T02:50:44.389587,5,5.0,0,True
2026-06-08T02:51:31.265238,5,5.0,0,True
2026-06-08T02:52:21.405763,5,5.0,0,True
2026-06-08T02:53:08.148841,5,5.0,5,True
2026-06-08T02:53:55.990257,2,,-1,False
2026-06-08T02:54:43.243584,1,,-1,False
2026-06-08T02:55:31.659490,2,2.0,0,True
2026-06-08T02:56:23.850799,2,,-1,False
2026-06-08T02:57:11.241253,8,,0,False
2026-06-08T02:57:58.296771,10,,0,False
2026-06-08T02:58:44.828950,1,1.0,0,True
2026-06-08T02:59:34.242362,2,2.0,0,True
2026-06-08T03:00:24.528902,30,,0,False
2026-06-08T03:01:12.775196,1,1.0,0,True
2026-06-08T03:02:01.874511,1,,-1,False
2026-06-08T03:02:49.803028,10,,0,False
2026-06-08T03:03:44.084742,5,5.0,0,True
2026-06-08T03:04:26.880262,1,,-1,False
2026-06-08T03:05:22.813122,1,1.0,0,True
2026-06-08T03:06:06.452801,1,1.0,0,True
2026-06-08T03:06:52.623361,1,,-1,False
2026-06-08T03:07:43.985175,1,1.0,0,True
2026-06-08T03:08:26.847062,1,1.0,0,True
2026-06-08T03:09:18.403488,2,2.0,0,True
2026-06-08T03:10:01.382585,2,,-1,False
2026-06-08T03:10:50.914893,1,,-1,False
2026-06-08T03:11:34.753299,5,5.0,5,True
2026-06-08T03:12:32.321321,1,1.0,0,True
2026-06-08T03:13:18.540981,1,1.0,0,True
2026-06-08T03:14:05.780087,1,1.0,0,True
2026-06-08T03:14:57.785646,10,,0,False
2026-06-08T03:15:48.077679,1,1.0,0,True
2026-06-08T03:16:34.876794,2,2.0,0,True
2026-06-08T03:17:25.346827,1,1.0,0,True
2026-06-08T03:18:15.560258,1,1.0,0,True
2026-06-08T03:18:59.884582,15,,0,False
2026-06-08T03:19:52.891534,40,,0,False
2026-06-08T03:20:38.811442,1,1.0,0,True
2026-06-08T03:21:25.466143,2,2.0,0,True
2026-06-08T03:22:17.024954,10,,-1,False
2026-06-08T03:23:03.404186,2,,-1,False
